City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Clyde River,CA,70.4692,-68.5914,30.43,93,100,31.07,light snow
331,Malakal,SS,9.5334,31.6605,78.22,67,100,2.59,overcast clouds
332,Uddevalla,SE,58.3478,11.9424,57.18,87,47,1.01,scattered clouds
333,Maniitsoq,GL,65.4167,-52.9,35.82,72,82,1.34,broken clouds
334,Althofen,AT,46.8818,14.4676,63.16,93,16,1.34,few clouds
335,Muisne,EC,0.6,-80.0333,75.06,85,98,8.75,light rain
336,Alice Springs,AU,-23.7,133.8833,71.15,32,1,8.05,clear sky
337,Zhanakorgan,KZ,43.9098,67.2495,89.2,16,1,13.56,clear sky
338,Lebu,CL,-37.6167,-73.65,48.24,89,61,7.27,broken clouds
339,Saint Simons,US,31.1352,-81.3901,82.44,82,0,9.22,clear sky
340,Avera,US,33.194,-82.5271,82.45,74,92,6.44,overcast clouds
341,Mattru,SL,7.6244,-11.8332,73.17,98,100,2.57,overcast clouds
342,Caravelas,BR,-17.7125,-39.2481,68.68,75,46,4.92,scattered clouds
343,Sanlucar La Mayor,ES,37.3871,-6.2011,69.37,86,65,1.01,broken clouds
344,Ulaangom,MN,49.9811,92.0667,76.3,38,100,6.98,overcast clouds
345,Yaring,TH,6.8662,101.3689,82.29,70,81,0.4,broken clouds
